DEPTH;CAL;NPHI;DT;GR;RHOB;RLLD;RT;BS
64.745.000;94.900;-0.0189;671.324;129.270;20.748;77.089.629;14.521.349;0    9.2500
64.750.000;94.900;-0.0189;671.324;123.100;20.661;76.926.719;14.507.991;0    9.2500
64.755.000;94.900;-0.0189;671.324;123.010;20.695;76.763.008;14.494.566;0    9.2500
64.760.000;94.900;-0.0189;671.324;122.920;20.769;76.599.434;14.481.153;0    9.2500
64.765.000;94.900;-0.0189;671.324;122.830;20.752;76.436.016;14.467.752;0    9.2500
64.770.000;94.900;-0.0189;671.324;122.730;20.802;76.272.754;14.454.365;0    9.2500
64.775.000;94.899;-0.0189;671.324;122.640;20.770;76.109.648;14.440.991;0    9.2500
64.780.000;94.906;-0.0190;671.324;122.550;20.784;75.946.680;14.427.627;0    9.2500
64.785.000;95.072;-0.0191;671.324;126.060;20.708;75.783.867;14.414.277;0    9.2500
64.790.000;95.241;-0.0192;671.324;128.450;20.779;75.621.523;14.400.964;0    9.2500
64.795.000;95.409;-0.0193;671.324;134.440;20.835;75.460.898;14.387.793;0    9.2500
64.800.000;95.523;-0.0194;671.324;134.350;20.867;75.295.352;14.374.218;0    9.2500
64.805.000;95.626;-0.0195;671.324;134.260;20.773;74.947.148;14.345.666;0    9.2500
64.810.000;95.727;-0.0196;671.324;134.150;20.677;74.080.586;14.274.608;0    9.2500
64.815.000;95.828;-0.0197;671.324;134.070;20.720;73.218.320;14.203.902;0    9.2500
64.820.000;95.928;-0.0198;671.324;133.980;20.628;72.360.332;14.133.546;0    9.2500
64.825.000;96.029;-0.0199;671.324;130.960;20.610;71.419.922;14.056.433;0    9.2500
64.830.000;96.130;-0.0200;671.324;127.720;20.722;72.463.496;14.142.006;0    9.2500
64.835.000;96.230;-0.0201;671.324;127.630;20.720;73.638.223;14.238.334;0    9.2500
64.840.000;96.331;-0.0202;671.324;121.460;20.760;74.830.176;14.336.074;0    9.2500
64.845.000;96.431;-0.0203;671.324;121.370;20.856;76.027.930;14.434.290;0    9.2500
64.850.000;96.532;-0.0204;671.324;121.280;20.944;77.089.629;14.521.349;0    9.2500
64.855.000;96.633;-0.0204;671.324;115.100;20.951;77.118.516;14.523.717;0    9.2500
64.860.000;96.733;-0.0205;671.324;115.840;20.881;77.024.160;14.515.981;0    9.2500
64.865.000;96.833;-0.0206;671.324;121.000;20.901;77.209.766;14.531.200;0    9.2500
64.870.000;96.901;-0.0207;671.324;120.910;20.799;52.113.799;12.473.331;0    9.2500
64.875.000;96.900;-0.0208;671.324;126.890;20.864;60.788.164;13.184.628;0    9.2500
64.880.000;96.900;-0.0209;671.324;127.300;20.932;75.920.449;14.425.476;0    9.2500
64.885.000;96.900;-0.0210;671.324;132.800;20.969;79.173.047;14.692.189;0    9.2500
64.890.000;96.916;-0.0210;671.324;136.060;20.903;79.067.773;14.683.557;0    9.2500
64.895.000;96.933;-0.0211;671.324;138.690;20.881;79.129.805;14.688.643;0    9.2500
64.900.000;96.951;-0.0212;671.324;138.600;20.755;28.984.424;10.576.722;0    9.2500
64.905.000;96.968;-0.0213;671.324;138.510;20.689;9.821.543;90.053.662;92.500
64.910.000;96.985;-0.0214;671.324;138.420;20.704;14.696.895;94.051.455;92.500
64.915.000;97.002;-0.0214;671.324;138.330;20.759;4.017.725;85.294.531;92.500
64.920.000;97.019;-0.0215;671.324;138.230;20.775;75.176.992;14.364.513;0    9.2500
