,DEPTH,CAL,NPHI,DT,GR,RHOB,RLLD,RT,BS,positive_flag,negative_flag,RLLD_log
2988,4348.0,11.2948,0.2776,71.6915,99.866,2.3826,26.9749,25.2984,9.25,,,3.29490680400109
2989,4348.5,11.3226,0.265,71.1107,97.523,2.4118,28.0704,26.2904,9.25,,,3.3347156403613227
2990,4349.0,11.1847,0.2235,70.8794,87.093,2.524,37.2904,34.5141,9.25,,,3.6187359208695886
2991,4349.5,11.0479,0.1549,70.3265,83.103,2.6285,48.77,44.5075,9.25,,,3.887115369721961
2992,4350.0,10.9045,0.1032,70.0877,82.219,2.6351,52.1036,47.3605,9.25,,,3.9532340442608476
2993,4350.5,10.8703,0.0801,69.6839,84.646,2.6809000000000003,49.7493,45.3174,9.25,,,3.9069963931538547
2994,4351.0,10.8696,0.1452,67.8046,86.858,2.6973,45.3759,41.5226,9.25,,,3.8149811270990535
2995,4351.5,10.8699,0.1769,67.7518,88.556,2.6876,45.6165,41.7318,9.25,,,3.8202694931765366
2996,4352.0,10.87,0.1747,67.4895,88.474,2.6882,46.2228,42.2588,9.25,,,3.8334731828469195
2997,4352.5,10.87,0.1734,66.7756,85.235,2.661,43.6072,39.9826,9.25,,,3.7752222743359525
2998,4353.0,10.87,0.1745,66.3934,79.753,2.6593,37.3269,34.4873,9.25,,,3.6197142463493703
2999,4353.5,10.87,0.1564,65.9058,74.27,2.6463,31.0182,28.858,9.25,,,3.434574128985453
3000,4354.0,10.87,0.1378,65.3626,68.644,2.5984000000000003,27.2799,25.4998,9.25,,,3.306150167279393
3001,4354.5,10.8699,0.1204,65.022,63.332,2.5781,22.026,20.7497,9.25,,,3.092223573742752
3002,4355.0,10.8659,0.1033,64.7848,62.067,2.5561,17.3654,16.4997,9.25,,,2.8544797207709354
3003,4355.5,10.8552,0.0976,64.3099,61.126,2.5574000000000003,14.9382,14.2689,9.25,,,2.70392169051843
3004,4356.0,10.8819,0.1121,63.9309,59.623,2.5704,14.145,13.541,9.25,,,2.6493612047535304
3005,4356.5,10.9083,0.1184,62.1787,58.451,2.5945,15.2311,14.5457,9.25,,,2.7233393901689014
3006,4357.0,10.8852,0.1023,60.3553,57.833,2.6239,23.0941,21.7209,9.25,,,3.139577173649327
3007,4357.5,10.8751,0.07,58.6899,56.33,2.6338,40.114,36.9319,9.25,,,3.691725400563855
3008,4358.0,10.8647,0.0393,56.9682,55.113,2.657,69.6771,62.4031,9.25,,,4.243871712849227
3009,4358.5,10.8546,0.0173,55.3578,54.359,2.6783,116.4837,101.6082,9.25,,,4.757751349053765
3010,4359.0,10.8445,0.0128,54.1295,52.957,2.6887,224.5385,189.1877,9.25,,,5.414047184684102
3011,4359.5,10.8343,0.0131,52.9707,53.055,2.6932,280.4085,233.4393,9.25,,,5.636247468538355
3012,4360.0,10.8301,0.0203,52.6766,54.285,2.6985,221.4471,186.7177,9.25,,,5.400183734776574
3013,4360.5,10.8301,0.0272,52.3397,56.529,2.6879,181.3476,154.5453,9.25,,,5.20041563156359
3014,4361.0,10.8402,0.0369,54.2188,59.018,2.706,148.5093,127.905,9.25,,,5.000647582544438
3015,4361.5,10.8491,0.0481,54.1272,60.467,2.6985,107.2709,93.9696,9.25,,,4.6753574106179565
3016,4362.0,10.8474,0.065,53.7625,63.058,2.6916,70.2013,62.8435,9.25,,,4.251366829378818
3017,4362.5,10.8455,0.085,53.7575,64.551,2.7473,44.0123,40.3292,9.25,,,3.7844691403072566
3018,4363.0,10.8436,0.1056,53.2969,65.686,2.7154,37.419,34.5621,9.25,,,3.6221785968116818
3019,4363.5,10.8417,0.1222,53.204,66.29,2.6631,37.0061,34.1989,9.25,,,3.611082763920371
3020,4364.0,10.8398,0.1125,52.8814,65.969,2.6486,50.9092,46.312,9.25,,,3.9300436537856713
3021,4364.5,10.8379,0.084,52.0489,64.466,2.6696,66.8903,60.0229,9.25,,,4.2030539640955915
3022,4365.0,10.8361,0.0571,53.6593,62.964,2.6765,76.8773,68.5,9.25,,,4.342210644378314
3023,4365.5,10.8342,0.0493,55.9226,62.624,2.6542000000000003,64.7133,58.1652,9.25,,,4.169966744523636
3024,4366.0,10.8323,0.0518,58.3558,63.229,2.6373,45.5216,41.6395,9.25,,,3.818186938585236
3025,4366.5,10.8308,0.0569,60.4086,63.223,2.6176,32.0993,29.8182,9.25,,,3.4688342230446145
3026,4367.0,10.8145,0.0619,62.3648,62.82,2.5947,22.6375,21.295,9.25,,,3.119607823209532
3027,4367.5,10.7942,0.0544,63.9558,61.998,2.5721,15.9647,15.2043,9.25,,,2.770380034884647
3028,4368.0,10.7736,0.0442,63.6657,60.561,2.553,12.7769,12.2621,9.25,,,2.5476388530152025
3029,4368.5,10.7698,0.038,63.2755,58.092,2.5654,13.3684,12.8089,9.25,,,2.5928937130477063
3030,4369.0,10.7557,0.0321,62.5993,55.447,2.5908,14.5608,13.9075,9.25,,,2.678332986314061
3031,4369.5,10.7217,0.022,61.7637,53.469,2.6167,25.0725,23.4829,9.25,,,3.2217716279802264
3032,4370.0,10.6879,0.009,61.1471,52.827,2.6251,55.5879,50.3112,9.25,,,4.017965551673304
3033,4370.5,10.6538,0.0051,61.1855,52.416,2.6124,48.3881,44.089,9.25,,,3.879253915723556
3034,4371.0,10.6709,0.0078,61.4533,53.787,2.6249,27.2484,25.436,9.25,,,3.3049948037890946
3035,4371.5,10.7023,0.0168,62.1985,56.03,2.6287,14.5059,13.8498,9.25,,,2.6745554632183
3036,4372.0,10.6888,0.0258,62.9495,58.31,2.59,8.2388,8.0208,9.25,,,2.1088547022481854
3037,4372.5,10.6475,0.0343,63.3245,60.13,2.5803000000000003,6.5051,6.3809,9.25,,,1.87258648463647
3038,4373.0,10.6058,0.0301,63.9092,60.125,2.5919,6.7802,6.6379,9.25,,,1.914006600042305
3039,4373.5,10.5644,0.0251,64.2581,59.708,2.5991,8.3317,8.0962,9.25,,,2.1200675169895806
3040,4374.0,10.5326,0.0195,64.0463,58.899,2.5859,11.3305,10.8921,9.25,,,2.4274982046928426
3041,4374.5,10.556,0.0227,64.0053,58.2,2.5908,14.7487,14.054,9.25,,,2.691154943308439
3042,4375.0,10.5702,0.0299,64.1741,57.447,2.5505,16.0703,15.27,9.25,,,2.7769728479012437
3043,4375.5,10.57,0.0379,64.5882,56.693,2.5096,17.8239,16.8755,9.25,,,2.8805402533162088
3044,4376.0,10.57,0.052,65.283,57.665,2.5036,12.2373,11.7375,9.25,,,2.5044886645157227
3045,4376.5,10.57,0.0749,66.1694,59.529,2.4969,8.9635,8.6891,9.25,,,2.193160775712756
3046,4377.0,10.57,0.0979,67.3368,60.46,2.4513000000000003,6.5655,6.4317,9.25,,,1.8818286663169226
3047,4377.5,10.57,0.121,68.7059,61.953,2.3849,4.8795,4.8277,9.25,,,1.585042755599379
3048,4378.0,10.57,0.1424,69.9927,63.118,2.369,4.2136,4.1892,9.25,,,1.4383173891870424
3049,4378.5,10.57,0.1629,71.2279,63.722,2.3758,4.0398,4.022,9.25,,,1.396195185797153
3050,4379.0,10.57,0.1689,72.3018,63.717,2.3802,3.9627,3.9477,9.25,,,1.3769256111157904
3051,4379.5,10.57,0.1711,73.1747,63.713,2.4006,3.9481,3.9336,9.25,,,1.3732344505311027
3052,4380.0,10.5768,0.1741,73.4893,63.282,2.4149000000000003,4.3306,4.302,9.25,,,1.4657061005440521
3053,4380.5,10.5894,0.1725,73.309,63.095,2.4444,4.7828,4.7364,9.25,,,1.565026149063288
3054,4381.0,10.6021,0.1676,72.5997,63.091,2.4474,5.6104,5.5274,9.25,,,1.7246220182405636
3055,4381.5,10.6148,0.1599,71.7687,63.328,2.4637,6.5089,6.3817,9.25,,,1.8731704711291695
3056,4382.0,10.6275,0.1515,70.5841,64.457,2.4979,7.6484,7.4593,9.25,,,2.0344964756366672
3057,4382.5,10.6377,0.1429,69.0068,67.332,2.5092,10.9498,10.55,9.25,,,2.393321191255523
3058,4383.0,10.6474,0.1336,66.1163,68.717,2.5381,16.7873,15.9378,9.25,,,2.820622648152178
3059,4383.5,10.657,0.124,63.5887,70.96,2.609,25.7291,24.0638,9.25,,,3.247622647057712
3060,4384.0,10.6667,0.1271,61.5705,73.203,2.6406,43.5328,39.8723,9.25,,,3.77351467695063
